Incident ID,Status,Affected CI,Primary Affected Service,Title,Assignment Group,Open Time,Area,Outage Start,Outage End,Assignee,Closure Code,Solution,Description,Department
IM1503117,Closed,TUNL335,eNB Service - TUN,INCIDENT: TUN1335---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/6 ) SM Tickets: 2,Maintenance EL MENZA-ENNASR-EL MANAR,2/1/2022 0:07,Facteur externe,1/31/2022 23:51,2/1/2022 3:47,hatem.haboubi,Resolved without intervention,Retour sans intervention,TUNL335 : BASE STATION SERVICE PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1335---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/6 ) SM Tickets: 0,Département Maintenance
IM1503118,Closed,TUN1335,BTS Service - TUN,"INCIDENT: TUN1335---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:3/3, 3G:3/6 ) Site Autonomy: N/A SM Tickets: 2",Maintenance EL MENZA-ENNASR-EL MANAR,2/1/2022 0:07,Facteur externe,1/31/2022 23:51,2/1/2022 3:49,hatem.haboubi,Resolved without intervention,Retour sans intervention,"Mutuelleville_3_TUN1335 : BCCH MISSING This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1335---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:1/3, 3G:1/6 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503119,Closed,MAH4067,NodeB Service - MAH,"INCIDENT: MAH1067---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:4/5, 3G:10/12 ) Site Autonomy: - 00:59:19s SM Tickets: 3",Maintenance MAHDIA SUD,2/1/2022 0:09,Facteur externe,1/31/2022 23:53,2/1/2022 1:14,mounir.chaieb,Resolved without intervention,Retour steg,"MAH4067F01 : Local Cell Unusable This ticket was created by user netcool.sm on NOI from impact INCIDENT: MAH1067---2G3G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 2G:4/5, 3G:10/12 ) Site Autonomy: 00:18:41s SM Tickets: 2",Département Maintenance
IM1503137,Closed,CPE_TUN8474_FO_KMK,CPE Service - TUN8,cpe_tun8474_fo_kmk \ Down,Support Technique Fixe et B2B,2/1/2022 0:28,Network,2/1/2022 0:23,2/1/2022 1:20,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: cpe_tun8474_fo_kmk  Sévérité: major  Temps de création: 01/02/22 00:23:57  Temps de réception: 01/02/22 00:25:07  Application: null  Objet: null  Texte message: Node CPE_TUN8474_FO_KMK.tunisiana.com DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335303,Sous-Direction Support Client B2C et B2B
IM1503138,Closed,CPE_TUNB298_MW_BVMT_BHINVEST,CPE Service - TUNB,cpe_tunb298_mw_bvmt_bhinvest \ Down,Support Technique Fixe et B2B,2/1/2022 0:28,Network,2/1/2022 0:21,2/1/2022 6:18,moez.abdelmouleh,Resolved without intervention, CPE de nouveau UP,Noeud: cpe_tunb298_mw_bvmt_bhinvest  Sévérité: major  Temps de création: 01/02/22 00:21:49  Temps de réception: 01/02/22 00:23:07  Application: null  Objet: null  Texte message: Node CPE_TUNB298_MW_BVMT_BHINVEST DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335302,Sous-Direction Support Client B2C et B2B
IM1503143,Closed,TUNL406,eNB Service - TUN,INCIDENT: TUN1406---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 2,Maintenance CARTHAGE-KRAM,2/1/2022 0:47,Facteur externe,1/31/2022 10:43,2/1/2022 0:48,saber.ferjani,Resolved without intervention,Retour sans intervention,TUNL406 : BASE STATION CONNECTIVITY PROBLEM This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1406---4G---Hors Service: CAUSE AND IMPACT: Cell Failure: ( 4G:1/9 ) SM Tickets: 2,Département Maintenance
IM1503144,Closed,RNIA3_MAH8364_FO_353061_MUN-SidiEzzidOuledMoulehom,RNIA3 Service - MAH,rnia3_mah8364_fo_353061_mun-sidiezzidouledmoulehom Down,Support Technique Fixe et B2B,2/1/2022 0:56,Network,2/1/2022 0:44,2/1/2022 1:26,aymen.warki,Resolved without intervention,retour sans intervention,Noeud: rnia3_mah8364_fo_353061_mun-sidiezzidouledmoulehom  Sévérité: major  Temps de création: 01/02/22 00:44:56  Temps de réception: 01/02/22 00:46:10  Application: null  Objet: null  Texte message: Node RNIA3_MAH8364_FO_353061_MUN-SidiEzzidOuledMoulehom DOWN by SNMP . Merci de contacter Support B2B  MSGID: Zabbix:2335304,Sous-Direction Support Client B2C et B2B
IM1503153,Closed,TUN4325,NodeB Service - TUN,"INCIDENT: TUN1325---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 1",Maintenance FOUCHENA-MHAMDIA,2/1/2022 1:40,Facteur externe,2/1/2022 1:24,2/1/2022 3:02,ali.dhib,Resolved without intervention,Retour énergie STEG,"TUN4325 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1325---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503154,Closed,TUN4422,NodeB Service - TUN,"INCIDENT: TUN1422---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 1",Maintenance JDAIDA-TBORBA,2/1/2022 1:40,Facteur externe,2/1/2022 1:24,2/1/2022 2:57,amor.haddad,Resolved without intervention,Retour énergie STEG,"TUN4422 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1422---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:6/6, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
IM1503155,Closed,TUN4201,NodeB Service - TUN,"INCIDENT: TUN1201---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 1",Maintenance JDAIDA-TBORBA,2/1/2022 1:40,Facteur externe,2/1/2022 1:24,2/1/2022 3:04,amor.haddad,Resolved without intervention,Retour énergie STEG,"TUN4201 : NodeB Unavailable This ticket was created by user netcool.sm on NOI from impact INCIDENT: TUN1201---2G3G---Hors Service: Cell Failure caused by Total Cell Failure: ( 2G:5/5, 3G:9/9 ) Site Autonomy: N/A SM Tickets: 0",Département Maintenance
