Site,DEL,Gov,nb cell 2G,nb cell 3G,nb cell 4G,nb cell FWBA
SFX1048,AGAREB,SFAX,5,5,6,0
SFX1049,AGAREB,SFAX,6,6,6,0
SFX1050,AGAREB,SFAX,5,9,0,0
SFX1053,AGAREB,SFAX,5,12,0,0
SFX1090,AGAREB,SFAX,5,9,0,0
SFX1147,AGAREB,SFAX,4,9,0,0
SFX1187,AGAREB,SFAX,4,12,0,0
SFX1224,AGAREB,SFAX,7,16,0,0
SFX1231,AGAREB,SFAX,6,12,0,0
JEN1004,AIN DRAHAM,JENDOUBA,6,12,6,0
JEN1009,AIN DRAHAM,JENDOUBA,3,9,0,0
JEN1024,AIN DRAHAM,JENDOUBA,5,12,0,0
JEN1038,AIN DRAHAM,JENDOUBA,3,6,0,0
JEN1041,AIN DRAHAM,JENDOUBA,7,18,0,0
JEN1042,AIN DRAHAM,JENDOUBA,6,12,0,0
JEN1054,AIN DRAHAM,JENDOUBA,4,11,0,0
JEN1060,AIN DRAHAM,JENDOUBA,3,9,0,0
JEN1067,AIN DRAHAM,JENDOUBA,5,12,0,0
SOS1009,AKOUDA,SOUSSE,6,13,6,0
SOS1027,AKOUDA,SOUSSE,8,19,8,0
SOS1039,AKOUDA,SOUSSE,6,12,6,0
SOS1042,AKOUDA,SOUSSE,5,15,6,0
SOS1063,AKOUDA,SOUSSE,7,12,0,6
SOS1064,AKOUDA,SOUSSE,6,15,6,0
SOS1072,AKOUDA,SOUSSE,7,18,8,0
SOS1098,AKOUDA,SOUSSE,6,15,6,0
SOS1111,AKOUDA,SOUSSE,6,12,0,0
SOS1146,AKOUDA,SOUSSE,6,12,6,0
SOS2034,AKOUDA,SOUSSE,#N/A,#N/A,#N/A,0
KAI1011,ALBA,KAIROUAN,4,4,0,0
KAI1031,ALBA,KAIROUAN,5,6,6,0
KAI1064,ALBA,KAIROUAN,5,16,0,0
BEJ1016,AMDOUN,BEJA,6,18,0,0
BEJ1027,AMDOUN,BEJA,6,12,0,0
BEJ1038,AMDOUN,BEJA,3,14,0,0
BEJ1052,AMDOUN,BEJA,6,16,0,0
